C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.01,0.01,0.01,1,N,0
0.01,0.01,0.01,2,N,1
0.01,0.01,0.01,3,N,2
0.01,0.01,0.01,4,N,3
0.01,0.01,0.01,5,N,4
0.01,0.01,0.11,1,N,5
0.01,0.01,0.11,2,N,6
0.01,0.01,0.11,3,N,7
0.01,0.01,0.11,4,N,8
0.01,0.01,0.11,5,N,9
0.01,0.01,0.21,1,N,10
0.01,0.01,0.21,2,N,11
0.01,0.01,0.21,3,N,12
0.01,0.01,0.21,4,N,13
0.01,0.01,0.21,5,N,14
0.01,0.01,0.31000000000000005,1,N,15
0.01,0.01,0.31000000000000005,2,N,16
0.01,0.01,0.31000000000000005,3,N,17
0.01,0.01,0.31000000000000005,4,N,18
0.01,0.01,0.31000000000000005,5,N,19
0.01,0.01,0.41,1,N,20
0.01,0.01,0.41,2,N,21
0.01,0.01,0.41,3,N,22
0.01,0.01,0.41,4,N,23
0.01,0.01,0.41,5,N,24
0.01,0.01,0.51,1,N,25
0.01,0.01,0.51,2,N,26
0.01,0.01,0.51,3,N,27
0.01,0.01,0.51,4,N,28
0.01,0.01,0.51,5,N,29
0.01,0.01,0.6100000000000001,1,N,30
0.01,0.01,0.6100000000000001,2,N,31
0.01,0.01,0.6100000000000001,3,N,32
0.01,0.01,0.6100000000000001,4,N,33
0.01,0.01,0.6100000000000001,5,N,34
0.01,0.01,0.7100000000000001,1,N,35
0.01,0.01,0.7100000000000001,2,N,36
0.01,0.01,0.7100000000000001,3,N,37
0.01,0.01,0.7100000000000001,4,N,38
0.01,0.01,0.7100000000000001,5,N,39
0.01,0.01,0.81,1,N,40
0.01,0.01,0.81,2,N,41
0.01,0.01,0.81,3,N,42
0.01,0.01,0.81,4,N,43
0.01,0.01,0.81,5,N,44
0.01,0.01,0.91,1,N,45
0.01,0.01,0.91,2,N,46
0.01,0.01,0.91,3,N,47
0.01,0.01,0.91,4,N,48
0.01,0.01,0.91,5,N,49
0.01,0.01,1.01,1,N,50
0.01,0.01,1.01,2,N,51
0.01,0.01,1.01,3,N,52
0.01,0.01,1.01,4,N,53
0.01,0.01,1.01,5,N,54
0.01,0.01,1.11,1,N,55
0.01,0.01,1.11,2,N,56
0.01,0.01,1.11,3,N,57
0.01,0.01,1.11,4,N,58
0.01,0.01,1.11,5,N,59
0.01,0.01,1.3,1,N,60
0.01,0.01,1.3,2,N,61
0.01,0.01,1.3,3,N,62
0.01,0.01,1.3,4,N,63
0.01,0.01,1.3,5,N,64
0.01,0.01,1.6,1,N,65
0.01,0.01,1.6,2,N,66
0.01,0.01,1.6,3,N,67
0.01,0.01,1.6,4,N,68
0.01,0.01,1.6,5,N,69
0.01,0.01,1.9,1,N,70
0.01,0.01,1.9,2,N,71
0.01,0.01,1.9,3,N,72
0.01,0.01,1.9,4,N,73
0.01,0.01,1.9,5,N,74
0.01,0.01,2.2,1,N,75
0.01,0.01,2.2,2,N,76
0.01,0.01,2.2,3,N,77
0.01,0.01,2.2,4,N,78
0.01,0.01,2.2,5,N,79
0.01,0.01,2.5,1,N,80
0.01,0.01,2.5,2,N,81
0.01,0.01,2.5,3,N,82
0.01,0.01,2.5,4,N,83
0.01,0.01,2.5,5,N,84
0.01,0.01,2.8000000000000003,1,N,85
0.01,0.01,2.8000000000000003,2,N,86
0.01,0.01,2.8000000000000003,3,N,87
0.01,0.01,2.8000000000000003,4,N,88
0.01,0.01,2.8000000000000003,5,N,89
