ngram,C_svc,C_lgs,alpha_nb,weight_svc,weight_lgs,weight_nb,accuracy_total,accuracy_01,label_0_precision,label_0_recall,label_0_count,label_1_precision,label_1_recall,label_1_count,label_2_precision,label_2_recall,label_2_count
5,0.91,0.81,3.1000000000000005,0.1,0.1,0.1,0.8659208850051481,0.7408602366554835,0.8378806711997531,0.7992673992673993,273.0,0.8810940460778081,0.6825726584850672,273.4,0.8702748817849277,0.93925793945317,931.8
5,0.91,0.81,3.1000000000000005,0.1,0.1,1.0,0.7574079990415259,0.3546818811901079,0.9434905784837248,0.4578754578754578,273.0,0.9888711288711288,0.2516430041977487,273.4,0.725564542391264,0.993561309773514,931.8
5,0.91,0.81,3.1000000000000005,0.1,0.1,3.0,0.7294005538833901,0.27268685001774584,0.9646751585323584,0.37069597069597066,273.0,0.9956521739130434,0.17481618138552446,273.4,0.7012016313770191,0.9972103004291846,931.8
5,0.91,0.81,3.1000000000000005,0.1,0.1,5.0,0.7242590178286129,0.2580462194721792,0.9669033796392288,0.3560439560439561,273.0,0.9954545454545456,0.1601855565359215,273.4,0.6970773957866482,0.9976394849785408,931.8
5,0.91,0.81,3.1000000000000005,0.1,1.0,0.1,0.8492801536019208,0.6958448011464465,0.8148120227043499,0.7575091575091575,273.0,0.8823727155582242,0.6342958744418599,273.4,0.8517872531388158,0.9392577089566344,931.8
5,0.91,0.81,3.1000000000000005,0.1,1.0,1.0,0.8122057587058945,0.5421031132182869,0.8729646601350425,0.6263736263736264,273.0,0.9274280757165052,0.4579610170851047,273.4,0.7885442266592623,0.970593712976494,931.8
5,0.91,0.81,3.1000000000000005,0.1,1.0,3.0,0.7651195703752156,0.3806717962111015,0.9273299952303562,0.4835164835164834,273.0,0.9803356529904518,0.2779791984171546,273.4,0.7336334665802503,0.9905558654453424,931.8
5,0.91,0.81,3.1000000000000005,0.1,1.0,5.0,0.7480725195040729,0.3279620440497954,0.9453293470731968,0.4358974358974361,273.0,0.99079476861167,0.2201812785754392,273.4,0.7175377760402997,0.9944199093687622,931.8
5,0.91,0.81,3.1000000000000005,0.1,3.0,0.1,0.8440036662647861,0.6830323241657794,0.8048558719971651,0.7465201465201465,273.0,0.8811605864071963,0.6196625758669554,273.4,0.8470924336518468,0.938399339857922,931.8
5,0.91,0.81,3.1000000000000005,0.1,3.0,1.0,0.8315552315959469,0.6189706089157643,0.833910969462926,0.6923076923076923,273.0,0.9081752013214948,0.5457608085345311,273.4,0.8197885336478039,0.956213725607704,931.8
5,0.91,0.81,3.1000000000000005,0.1,3.0,3.0,0.8047636330918772,0.5142816963657915,0.8772369220188121,0.6007326007326007,273.0,0.9401742670582444,0.4279591454773937,273.4,0.7788656051345068,0.9751013032274124,931.8
5,0.91,0.81,3.1000000000000005,0.1,3.0,5.0,0.7859575401204864,0.4494920679564189,0.9012801333394194,0.5406593406593406,273.0,0.9555484651480872,0.35846367744177965,273.4,0.7560975001571751,0.9832585756236084,931.8
5,0.91,0.81,3.1000000000000005,0.1,5.0,0.1,0.8433271677712166,0.6812008223342776,0.8046032563343545,0.7450549450549451,273.0,0.8817498790916224,0.6174647736691532,273.4,0.8461013711956408,0.9383995703544576,931.8
5,0.91,0.81,3.1000000000000005,0.1,5.0,1.0,0.8356150469845737,0.6413008685403566,0.8232351515383464,0.7164835164835165,273.0,0.8996964735208582,0.5662442180690357,273.4,0.8283958179843314,0.94956044310654,931.8
5,0.91,0.81,3.1000000000000005,0.1,5.0,3.0,0.8212719762528143,0.5739464679135613,0.8623385786937188,0.6571428571428571,273.0,0.9175126294511432,0.4908799229967113,273.4,0.8014224607221214,0.9663014064898604,931.8
5,0.91,0.81,3.1000000000000005,0.1,5.0,5.0,0.8034110022002234,0.5095238095238095,0.8772825511328811,0.5956043956043956,273.0,0.9425402230729308,0.4235715622576937,273.4,0.7772495421613625,0.9757453105479824,931.8
5,0.91,0.81,3.1000000000000005,1.0,0.1,0.1,0.8831038033265376,0.8565240974747373,0.8153300909183866,0.904029304029304,273.0,0.8076087919173025,0.8091147295526857,273.4,0.9292484867521787,0.8986914711671883,931.8
5,0.91,0.81,3.1000000000000005,1.0,0.1,1.0,0.8726852306055625,0.75879288292451,0.8482559925798668,0.8139194139194139,273.0,0.8770265884131971,0.703775300125665,273.4,0.8785399019191008,0.9394720707347768,931.8
5,0.91,0.81,3.1000000000000005,1.0,0.1,3.0,0.8126117133172264,0.5256303111878979,0.92026298829884,0.6249084249084249,273.0,0.9442022857493028,0.4265019651880966,273.4,0.7817805977879424,0.9808973691125424,931.8
5,0.91,0.81,3.1000000000000005,1.0,0.1,5.0,0.7774336027190902,0.41288881745920136,0.9418080977985795,0.5179487179487179,273.0,0.9792232190782916,0.3079864174754686,273.4,0.7436710105583542,0.9912003337589838,931.8
5,0.91,0.81,3.1000000000000005,1.0,1.0,0.1,0.8736330972846897,0.8111370043728361,0.8106922998350601,0.8622710622710624,273.0,0.8298962844054927,0.7601053447768775,273.4,0.9050909225039016,0.9102817589651628,931.8
5,0.91,0.81,3.1000000000000005,1.0,1.0,1.0,0.8659208850051481,0.7408602366554835,0.8378806711997531,0.7992673992673993,273.0,0.8810940460778081,0.6825726584850672,273.4,0.8702748817849277,0.93925793945317,931.8
5,0.91,0.81,3.1000000000000005,1.0,1.0,3.0,0.8246537364058006,0.5699225211108211,0.8919134807873009,0.6578754578754579,273.0,0.9379638210227356,0.48209138793080397,273.4,0.7988602957520836,0.9740285723505576,931.8
5,0.91,0.81,3.1000000000000005,1.0,1.0,5.0,0.7923160229741381,0.4644983292149655,0.9189408749485386,0.5619047619047619,273.0,0.9531133465672336,0.3672388438811797,273.4,0.7608731396369274,0.9845463597682128,931.8
5,0.91,0.81,3.1000000000000005,1.0,3.0,0.1,0.8655151141229551,0.7675780648358345,0.8100546318907063,0.8190476190476189,273.0,0.8569398180772337,0.7162107965027673,273.4,0.8835404251703795,0.9229454691295992,931.8
5,0.91,0.81,3.1000000000000005,1.0,3.0,1.0,0.8582094049165769,0.7196322263963946,0.8252402324137831,0.7831501831501829,273.0,0.8867853136111981,0.6562284430897571,273.4,0.8611482131328589,0.9394729927209194,931.8
5,0.91,0.81,3.1000000000000005,1.0,3.0,3.0,0.8352085436636297,0.6149446531530627,0.8672591750046232,0.6937728937728938,273.0,0.917809803705994,0.5362476939119276,273.4,0.8171639523197672,0.9643700760177574,931.8
5,0.91,0.81,3.1000000000000005,1.0,3.0,5.0,0.8131535342637936,0.5388097581881859,0.8837075101455312,0.621978021978022,273.0,0.9391625753601922,0.4557658886126039,273.4,0.7870634508010868,0.9740285723505576,931.8
5,0.91,0.81,3.1000000000000005,1.0,5.0,0.1,0.8591569057479994,0.7441542613389048,0.8087517890420675,0.7985347985347986,273.0,0.8607397404607164,0.6898772760086629,273.4,0.8728897144799154,0.9265944597852694,931.8
5,0.91,0.81,3.1000000000000005,1.0,5.0,1.0,0.8542865547690923,0.7093878698997529,0.8198162538590873,0.7743589743589743,273.0,0.8842180410565404,0.6445389160717627,273.4,0.8574345146149565,0.9392586309427768,931.8
5,0.91,0.81,3.1000000000000005,1.0,5.0,3.0,0.8381857238287893,0.6343458491538929,0.8509302139989634,0.7106227106227105,273.0,0.9085162239065055,0.5581989786369348,273.4,0.8248916321190685,0.957716563020058,931.8
5,0.91,0.81,3.1000000000000005,1.0,5.0,5.0,0.8226249731160629,0.5761456094180043,0.8712967591473942,0.6600732600732601,273.0,0.9202377357388206,0.4923397770113099,273.4,0.8012938773603036,0.9671600060851084,931.8
5,0.91,0.81,3.1000000000000005,3.0,0.1,0.1,0.8816143898078689,0.8627451768219594,0.8091744723030295,0.906959706959707,273.0,0.7991910800480377,0.8186171492740837,273.4,0.9327628347393307,0.8926810435039162,931.8
5,0.91,0.81,3.1000000000000005,3.0,0.1,1.0,0.8826982151823618,0.8396870040380093,0.8230356558001732,0.8930402930402931,273.0,0.8212281119313383,0.7864388652709821,273.4,0.9198326667716284,0.9079205524540968,931.8
5,0.91,0.81,3.1000000000000005,3.0,0.1,3.0,0.8726853220984612,0.7591598529441308,0.8488743833532562,0.8139194139194139,273.0,0.8763264686103376,0.7045079008582658,273.4,0.878525717731249,0.9392574784600988,931.8
5,0.91,0.81,3.1000000000000005,3.0,0.1,5.0,0.8530675946308838,0.6650923117102276,0.8845423526994376,0.7333333333333334,273.0,0.9194708777402576,0.5969813641346489,273.4,0.8359204169920436,0.9632968841478312,931.8
5,0.91,0.81,3.1000000000000005,3.0,1.0,0.1,0.8802624909832959,0.848836477355673,0.8122506689005162,0.8974358974358975,273.0,0.8059310274742673,0.8003395631132857,273.4,0.9257507393461047,0.8986914711671883,931.8
5,0.91,0.81,3.1000000000000005,3.0,1.0,1.0,0.8786390404918064,0.8191889158982395,0.8232309308602472,0.8681318681318683,273.0,0.8290480676294504,0.7703430389561776,273.4,0.9094736615946122,0.9135011040784058,931.8
5,0.91,0.81,3.1000000000000005,3.0,1.0,3.0,0.8702498722542016,0.7529374342902679,0.8441390596987788,0.8087912087912088,273.0,0.8777007092455509,0.6971952621587658,273.4,0.8758494862688607,0.9390426556888848,931.8
5,0.91,0.81,3.1000000000000005,3.0,1.0,5.0,0.853608958112957,0.6727799318292919,0.8757051649494592,0.7428571428571429,273.0,0.910168551134192,0.6028341488195502,273.4,0.8395668222389645,0.9596481239886964,931.8
5,0.91,0.81,3.1000000000000005,3.0,3.0,0.1,0.8747153670321228,0.8169917833537577,0.80929986706049,0.8666666666666668,273.0,0.828009125090172,0.7674126360257747,273.4,0.9082079322984667,0.9085647902712022,931.8
5,0.91,0.81,3.1000000000000005,3.0,3.0,1.0,0.8734976877944973,0.7957631034413483,0.8200113818654268,0.8468864468864469,273.0,0.8436359617152405,0.7447394454693724,273.4,0.8972148607358221,0.9190814252061792,931.8
5,0.91,0.81,3.1000000000000005,3.0,3.0,3.0,0.8659208850051481,0.7408602366554835,0.8378806711997531,0.7992673992673993,273.0,0.8810940460778081,0.6825726584850672,273.4,0.8702748817849277,0.93925793945317,931.8
5,0.91,0.81,3.1000000000000005,3.0,3.0,5.0,0.8519851418976531,0.6760719475527518,0.8599489546422558,0.7509157509157509,273.0,0.9082697940489972,0.6013716210796503,273.4,0.8409638014240187,0.9551414557239204,931.8
5,0.91,0.81,3.1000000000000005,3.0,5.0,0.1,0.8716040592684753,0.79832586669881,0.8090764014858018,0.8505494505494505,273.0,0.8386401032795195,0.7462099943851769,273.4,0.8991994937619647,0.9145745264448676,931.8
5,0.91,0.81,3.1000000000000005,3.0,5.0,1.0,0.8701150115975118,0.7800222324902397,0.8196219628855766,0.8351648351648351,273.0,0.8539555936148254,0.7249886366674688,273.4,0.8888479575381989,0.9229452386330632,931.8
5,0.91,0.81,3.1000000000000005,3.0,5.0,3.0,0.8632155314811619,0.7335402562093604,0.8329228438988008,0.7963369963369964,273.0,0.8837559499324203,0.6708644153899629,273.4,0.8671358111455909,0.9392584004462412,931.8
5,0.91,0.81,3.1000000000000005,3.0,5.0,5.0,0.8509028722741101,0.6768065572453141,0.8503835852897371,0.7494505494505495,273.0,0.9058454010041108,0.6042993502847518,273.4,0.8419458105987296,0.952995071984068,931.8
5,0.91,0.81,3.1000000000000005,5.0,0.1,0.1,0.8808024815763268,0.8631108075349392,0.8060195037981032,0.9062271062271062,273.0,0.7983629014325387,0.8200796770139837,273.4,0.93308204821962,0.8911782060915625,931.8
5,0.91,0.81,3.1000000000000005,5.0,0.1,1.0,0.8835100321687854,0.8503010091675541,0.8203398538843321,0.8981684981684982,273.0,0.8121568847371001,0.8025320178604849,273.4,0.9258687477753,0.9029842386468931,931.8
5,0.91,0.81,3.1000000000000005,5.0,0.1,3.0,0.8818859411031147,0.8136997676302977,0.8350509297648634,0.8695970695970697,273.0,0.8466357812357721,0.7579048688537741,273.4,0.9055203727431336,0.921871585770066,931.8
