类别,Idclassfier,ifknowdebtor,ConfirmLoan,willingtopay,cutdebt,installment,对策
讨价还价,1.0,1.0,0.0,1.0,1.0,1.0,cutdebt
讨价还价,1.0,1.0,1.0,1.0,0.0,0.0,施压
说出目的,0.0,0.0,1.0,1.0,1.0,1.0,ConfirmLoan
确认数额,1.0,1.0,0.0,1.0,1.0,1.0,willingtopay
请求重复,0.0,0.0,0.0,0.0,0.0,0.0,重复
请求等下打来,0.0,0.0,0.0,0.0,0.0,0.0,另选时间打来
其它通讯方式,1.0,1.0,1.0,0.0,1.0,1.0,重复
模糊确认,1.0,1.0,0.0,0.0,0.0,0.0,施压
回问身份,1.0,1.0,0.0,0.0,0.0,0.0,施压
回问身份,0.0,0.0,1.0,1.0,1.0,1.0,重复
还款方式,1.0,1.0,0.0,0.0,0.0,0.0,告诉支付途径
故意岔开话题,0.0,0.0,0.0,0.0,0.0,0.0,施压
不愿配合,0.0,0.0,1.0,1.0,1.0,1.0,施压
