expression,key_word
^1y-5m-31d-12H:00M:00S,明年上半年
^1y-12m-31d-12H:00M:00S,明年下半年
?y-5m-31d-12H:00M:00S,今年上半年
?y-12m-31d-12H:00M:00S,今年下半年
?y-5m-31d-12H:00M:00S,上半年
?y-12m-31d-12H:00M:00S,下半年
^1y-3m-31d-12H:00M:00S,明年年初
^1y-12m-31d-12H:00M:00S,明年年底
?y-3m-31d-12H:00M:00S,今年年初
?y-3m-31d-12H:00M:00S,年初
?y-12m-31d-12H:00M:00S,年尾
?y-12m-31d-12H:00M:00S,今年年底
?y-12m-31d-12H:00M:00S,年底
^1y-3m-31d-12H:00M:00S,明年初
^1y-12m-31d-12H:00M:00S,明年底
?y-3m-31d-12H:00M:00S,今年初
?y-12m-31d-12H:00M:00S,今年底
?y-3m-31d-12H:00M:00S,今年开春
^1y-3m-31d-12H:00M:00S,明年开春
?y-3m-31d-12H:00M:00S,开春
?y-3m-31d-12H:00M:00S,今年年后
^1y-3m-31d-12H:00M:00S,明年年后
?y-3m-31d-12H:00M:00S,年后
?y-+3m-?d-?H:00M:00S,一个季度
?y-+3m-?d-?H:00M:00S,1个季度
?y-+6m-?d-?H:00M:00S,两个季度
?y-+6m-?d-?H:00M:00S,2个季度
?y-+9m-?d-?H:00M:00S,三个季度
?y-+9m-?d-?H:00M:00S,3个季度
?y-5m-7d-?H:00M:00S,劳动节
?y-10m-7d-?H:00M:00S,国庆节
+100y-?m-?d-?H:00M:00S,下辈子
?y-5m-30d-12H:00M:00S,春天
?y-5m-30d-12H:00M:00S,春季
?y-8m-30d-12H:00M:00S,夏天
?y-8m-30d-12H:00M:00S,夏季
?y-11m-30d-12H:00M:00S,秋天
?y-11m-30d-12H:00M:00S,秋季
?y-2m-28d-12H:00M:00S,冬天
?y-2m-28d-12H:00M:00S,冬季
